mark	price	produced_year	imported_year	distance	motor_volume	color	type	hurd	hodolguur
Subaru Forester	40.0	2017	2019	93000 км.	2.5 л	Хар	Жийп	Буруу	Бензин
Toyota Prius 20	8.0	2004	2015	1111111 км.	0.5 л	Бусад	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	43.0	2013	2022	154279 км.	2.4 л	Хар	Гэр бүлийн	Буруу	Бензин
Toyota Harrier	22.0	2009	2013	150000 км.	3.5 л	Шаргал	Жийп	Буруу	Бензин
Toyota Land Cruiser Prado	101.0	2016	2024	54000 км.	2.7 л	Саарал	Жийп	Буруу	Бензин
Nissan NV200	15.0	2013	2024	250 км.	1.6 л	Саарал	Суудлын тэрэг	Буруу	Бензин
Subaru XV Crosstrek	35.0	2018	2024	150 км.	2.0 л	Шаргал	Гэр бүлийн	Буруу	Бензин
Lexus IS	40.5	2014	2024	160000 км.	2.5 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	20.3	2007	2023	74000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Хайбрид
Lexus IS	40.0	2014	2020	147 км.	2.0 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Alphard	15.8	2006	2018	200000 км.	2.4 л	Шаргал	Гэр бүлийн	Буруу	Хайбрид
Mercedes-Benz G-Class	680.0	2022	2022	14000 км.	4.0 л	Бусад	Жийп	Зөв	Бензин
Lexus HS	29.8	2012	2023	145000 км.	2.4 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Kluger	30.0	2005	2022	148500 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Land Cruiser 300	220.0	2024	2024	9 км.	4.0 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Prius 30	24.5	2012	2024	192000 км.	1.8 л	Саарал	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	8.0	2006	2013	123000 км.	1.5 л	Шаргал	Суудлын тэрэг	Буруу	Бензин
Lexus LX	110.0	2009	2010	106000 км.	5.7 л	Цагаан шар	Жийп	Зөв	Бензин
Toyota Harrier	28.0	2009	2016	1 км.	3.3 л	Хар	Жийп	Буруу	Хайбрид
Toyota Prius 30	26.0	2014	2024	151000 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	9.0	2004	2024	150 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 20	12.6	2003	2019	240000 км.	1.5 л	Цагаан шар	Суудлын тэрэг	Буруу	Хайбрид
Toyota Prius 40	31.5	2013	2024	129461 км.	1.8 л	Хар	Суудлын тэрэг	Буруу	Хайбрид
Suzuki Jimny	60.0	2020	2020	37500 км.	1.5 л	Хар	Суудлын тэрэг	Зөв	Бензин
Toyota Vitz	10.5	2012	2018	120000 км.	1.3 л	Хар	Суудлын тэрэг	Буруу	Бензин
Toyota Wish	23.0	2013	2022	180000 км.	1.8 л	Хар	Гэр бүлийн	Буруу	Бензин
Lexus RX	99.0	2016	2024	104000 км.	3.5 л	Хар	Жийп	Буруу	Хайбрид
